,VMTH,DOB,# days signs b4 dx,date of dx,Visit,Age ,Weight,Constipation,Anemia,Fleas,Rads,Other,Died,T4,Frequency,Dosage T4,T3,Dosage T3,Control,Date of sample,Sex,Lab,TT4 (RIA) (nmol),TT4 (RIA) ,TT4 (CLIA) nmol/L,TT4 CLIA ug/dL,TT4 ELISA,Tt4 Truforma ,T3 (RIA),FT4(RIA) pmol/L,FT4 RIA (ng/dL),FT4 (CLIA),FT4 Idexx,FT4d,cTSH (CLIA),TSH Idexx,Truforma TSH,IGF-1,Comments
Animal ID,patient no. ,,,,,,,,,,,,,,,,,,,,,,RR=10-47,ug/dL,RR:  9-46,RR = 0.69-3.5,,,nmol/L,RR:  10-53,RR=.777 - 4.1,ng/dL (0.59-3.04),,,MSU RR:  0-0.38,,0.03 - 0.12,,
Waldorf,726738,"February 20, 2021",,6/30/2021,1,132,0.696,2,1,3,3,,,,,,,,,6/30/2021,M,MSU,,,0,0.00,,,0.1,2,0.16,,,,6.35,,,,"Also have labs from Idexx, these are MSU resuls"
Waldorf,726738,2/20/2021,,,,159,0.833,,,,,,,12.5,2,15.0060024,,0,2,7/29/2021,M,MSU,,,12,0.93,,,,7,0.54,,,,5.81,,,,
Waldorf,726738,2/20/2021,,,,178,0.971,,,,,,,25,2,25.74665294,,0,2,8/17/2021,M,MSU,,,20,1.55,,,,19,1.48,,,,2.02,,,,
Bauhaus(Waldorf),726738,2/20/2021,,,,214,1.9,,,,,,,50,2,26.31578947,,0,1,9/22/2021,M,MSU,,,46,3.57,,,0.9,36,2.80,,,,0.34,,,,
Bauhaus(Waldorf),726738,2/20/2021,,,,255,2.4,,,,,,,50,2,20.83333333,,0,1,11/2/2021,M,MSU,,,43,3.34,,,0.7,39,3.03,,,,0.17,,,,
Bauhaus(Waldorf),726738,2/20/2021,,,,338,2.7,,,,,,,50,2,18.51851852,,0,1,1/24/2022,MC,MSU,,,29,2.25,,,0.8,26,2.02,,,,0.12,,,,
Bauhaus(Waldorf),726738,2/20/2021,,,,429,3.8,,,,,,,50,2,13.15789474,,0,1,4/25/2022,MC,MSU,,,34,2.64,,,,25,1.94,,,,0.03,,,,
Bauhaus(Waldorf),726738,2/20/2021,,,,515,3.9,,,,,,,50,2,12.82051282,,0,1,7/20/2022,MC,MSU,,,35,2.72,,,,29,2.25,,,,0.05,,,,
Bauhaus(Waldorf),726738,2/20/2021,,,,703,3.8,,,,,9,,50,2,13.15789474,,0,1,1/24/2023,MC,MSU,,,36,2.80,,,,38,2.95,,,,0.06,,,,
Bauhaus(Waldorf),726738,2/20/2021,,,,892,4.4,,,,,,,50,2,11.36363636,,0,1,8/1/2023,MC,MSU,,,41,3.19,,,,35,2.72,,,,0.1,,,,
Bauhaus(Waldorf),726738,2/20/2021,,,,1138,4.4,,,,,,,50,2,11.36363636,,0,1,"April 3, 2024",MC,MSU,,,38,2.95,,,0.7,46,3.57,,,,0.06,,,,
Bauhaus(Waldorf),726738,2/20/2021,,,,1584,4.6,,,,,,,100,1,21.73913043,,0,1,"June 23, 2025",MC,MSU,,,49,3.81,,,0.3,46,3.57,,,,0.13,,,,
Bauhaus(Waldorf),726738,2/20/2021,,,,1640,4.43,,,,,,,100,1,22.57336343,,0,1,"August 18, 2025",MC,MSU,,,24,1.86,,,0.3,27,2.10,,,,0.05,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayenne,730813,"September 1, 2021",43,11/20/2021,1,80,0.66,1,2,2,2,5,1,,,,,,,"November 20, 2021",M,UCD,,,,<0.5,,,,,,<0.3,,,>12,,,,necropsy in comment
,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,
Lou,730721,"September 21, 2021",,11/23/2021,1,61,0.587,1,1,3,3,,,0,,0,,0,,11/23/2021,F,UCD,,,,<0.5,,,,,,<0.3,,,3.29,,,,
Lou,730721,9/21/2021,,11/23/2021,,61,0.587,,,,,,,0,,0,,0,,11/23/2021,F,MSU,,,0,0.00,,,0.3,2,0.16,,,,5.46,,,,
Lou,730721,9/21/2021,,,,85,0.77,,,,,,,25,2,32.46753247,,0,2,12/15/2021,F,MSU,,,10,0.78,,,0.7,12,0.93,,,,3.45,,,,
Lou,730721,9/21/2021,,,,134,1.5,,,,,,,50,2,33.33333333,,0,2,2/2/2022,F,MSU,,,10,0.78,,,0.8,12,0.93,,,,3.35,,,,
Lou,730721,9/21/2021,,,,163,2.1,,,,,,,75,2,35.71428571,,0,1,3/3/2022,F,MSU,,,51,3.96,,,1.5,41,3.19,,,,0.34,,,,
Lou,730721,9/21/2021,,,,217,2.5,,,,,,,75,2,30,,0,3,4/26/2022,FS,MSU,,,110,8.55,,,1.5,77,5.98,,,,0.21,,,,
Lou,730721,9/21/2021,,,,268,2.5,,,,,,,75,2,30,,0,5,6/16/2022,FS,MSU,,,59,4.58,,,1.2,68,5.28,,,,0.93,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newman,742585,"July 20, 2022",2,9/9/2022,1,51,0.65,1,3,3,,,,,,,,,,"Sept 09, 2022",M,Idexx,,,,,0.70,,,,,,0.3,,,10.7,,,
Newman,742585,"July 20, 2022",,,,56,0.65,1,2,1,2,5,,25,2,38.46153846,,0,0,"Sept 14, 2022",M,MSU,,,22,1.71,,2.84,0.5,26,2.02,,,,>12,,1.45,,
Newman,742585,"July 20, 2022",,,,85,2,,,,,,,37.5,2,18.75,,0,2,"October 13, 2022",,MSU,,,22,1.71,,2.04,,29,2.23,,,,>12.00,,1.2,,
Newman,742585,"July 20, 2022",,,,105,1.6,,`,,,,,50,2,31.25,,0,2,11/2/2022,,MSU,,,26,2.02,,1.82,,31,2.41,,,,>12.00,,>1.5,,
Newman,742585,"July 20, 2022",,,,125,2.1,,,,,,,75,2,35.71428571,,0,2,11/22/2022,,MSU,,,39,3.03,,2.23,,34,2.64,,,,5.25,,1.44,,
Newman,742585,"July 20, 2022",,,,155,2.7,,,,,,,100,2,37.03703704,,0,5,12/22/2022,,MSU,,,47,3.65,,5.92,,54,4.20,,,,0.96,,0.568,,
